,ID,Winery,Name,Vintage,Country,Region,Wine_Style,Wine_Type,Wine_Type_ID,Grape Type,Grape_ID,Rating,Review_Count,Price,Acidity,Fizziness,Intensity,Sweetness,Tannin
69,Château Margaux (Premier Grand Cru Classé) 1995,Château Margaux,Château Margaux (Premier Grand Cru Classé),1995,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Sauvignon,2,4.7,2333,935.0,4.1657367,,3.673643,1.6061885,3.8240721
70,Pomerol 2020,Le Pin,Pomerol,2020,France,Pomerol,bordeaux-right-bank-pomerol,Pomerol,1,Cabernet Sauvignon,2,0.0,3,6419.86,3.4017339,,4.126556,1.9152695,3.2842307
71,Pauillac (Premier Grand Cru Classé) 1982,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé),1982,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,2283,1560.0,4.0900707,,4.0577865,1.7132971,4.1127405
72,Tenuta Tignanello 'Solaia' 2009,Antinori,Tenuta Tignanello 'Solaia',2009,Italy,Toscana,tuscan-red,Red,1,Cabernet Sauvignon,2,4.7,2233,1317.6,3.0648935,,3.4553576,1.8906335,2.9718184
73,Bolgheri Superiore 2007,Ornellaia,Bolgheri Superiore,2007,Italy,Bolgheri Superiore,italian-bolgheri,Bolgheri,1,Cabernet Sauvignon,2,4.7,2210,360.0,3.4588118,,3.8769662,1.7900262,3.8896084
74,Tenuta Tignanello 'Solaia' 2011,Antinori,Tenuta Tignanello 'Solaia',2011,Italy,Toscana,tuscan-red,Red,1,Cabernet Sauvignon,2,4.7,2080,1233.64,3.0648935,,3.4553576,1.8906335,2.9718184
75,Château Margaux (Premier Grand Cru Classé) 1996,Château Margaux,Château Margaux (Premier Grand Cru Classé),1996,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Sauvignon,2,4.7,2050,1801.0,4.1657367,,3.673643,1.6061885,3.8240721
76,Grand Vin Pauillac (Premier Grand Cru Classé) 1995,Château Latour,Grand Vin Pauillac (Premier Grand Cru Classé),1995,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1977,1950.0,4.13047,,4.1248455,1.6733406,4.1369643
77,Pessac-Léognan (Premier Grand Cru Classé) 1995,Château Haut-Brion,Pessac-Léognan (Premier Grand Cru Classé),1995,France,Pessac-Léognan,bordeaux-left-bank-pessac-leognan,Pessac-Léognan,1,Cabernet Sauvignon,2,4.7,1976,650.4,4.2211084,,4.079735,1.6726997,4.23164
78,Château Margaux (Premier Grand Cru Classé) 1999,Château Margaux,Château Margaux (Premier Grand Cru Classé),1999,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Sauvignon,2,4.7,1786,780.0,4.1657367,,3.673643,1.6061885,3.8240721
79,Grand Vin Pauillac (Premier Grand Cru Classé) 1996,Château Latour,Grand Vin Pauillac (Premier Grand Cru Classé),1996,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1762,920.0,4.13047,,4.1248455,1.6733406,4.1369643
80,Pauillac (Premier Grand Cru Classé) 1990,Château Lafite Rothschild,Pauillac (Premier Grand Cru Classé),1990,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1744,1600.0,4.110219,,3.9830909,1.6745167,4.1105247
81,Château Margaux (Premier Grand Cru Classé) 2006,Château Margaux,Château Margaux (Premier Grand Cru Classé),2006,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Sauvignon,2,4.7,1725,699.0,4.1657367,,3.673643,1.6061885,3.8240721
82,Pauillac (Premier Grand Cru Classé) 1999,Château Lafite Rothschild,Pauillac (Premier Grand Cru Classé),1999,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1714,1197.1,4.110219,,3.9830909,1.6745167,4.1105247
83,Château Margaux (Premier Grand Cru Classé) 1986,Château Margaux,Château Margaux (Premier Grand Cru Classé),1986,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Sauvignon,2,4.7,1713,1050.0,4.1657367,,3.673643,1.6061885,3.8240721
84,Pauillac (Premier Grand Cru Classé) 2001,Château Lafite Rothschild,Pauillac (Premier Grand Cru Classé),2001,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1597,778.0,4.110219,,3.9830909,1.6745167,4.1105247
85,Château Margaux (Premier Grand Cru Classé) 1982,Château Margaux,Château Margaux (Premier Grand Cru Classé),1982,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Sauvignon,2,4.7,1581,1750.0,4.1657367,,3.673643,1.6061885,3.8240721
86,Pauillac (Premier Grand Cru Classé) 1995,Château Lafite Rothschild,Pauillac (Premier Grand Cru Classé),1995,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1533,1300.0,4.110219,,3.9830909,1.6745167,4.1105247
87,Tenuta Tignanello 'Solaia' 2001,Antinori,Tenuta Tignanello 'Solaia',2001,Italy,Toscana,tuscan-red,Red,1,Cabernet Sauvignon,2,4.7,1513,695.4,3.0648935,,3.4553576,1.8906335,2.9718184
88,Château Margaux (Premier Grand Cru Classé) 2001,Château Margaux,Château Margaux (Premier Grand Cru Classé),2001,France,Margaux,bordeaux-left-bank-margaux,Margaux,1,Cabernet Sauvignon,2,4.7,1498,1204.14,4.1657367,,3.673643,1.6061885,3.8240721
89,Pauillac (Premier Grand Cru Classé) 2000,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé),2000,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1401,3150.0,4.0900707,,4.0577865,1.7132971,4.1127405
90,Quella 2016,BOND,Quella,2016,United States,Napa Valley,napa-valley-cabernet-sauvignon,Cabernet Sauvignon,1,Cabernet Sauvignon,2,0.0,23,892.5,3.4100199,,4.600779,1.4201441,3.5941439
91,Pauillac (Premier Grand Cru Classé) 2009,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé),2009,France,Pauillac,bordeaux-left-bank-pauillac,Pauillac,1,Cabernet Sauvignon,2,4.7,1352,994.95,4.0900707,,4.0577865,1.7132971,4.1127405
92,Harlequin 2016,Zýmē,Harlequin,2016,Italy,Veneto,northern-italy-red,Red,1,Cabernet Sauvignon,2,0.0,22,289.98,2.656454,,4.08273,2.4388974,3.0804603
